Survived,Pclass,SibSp,Parch,Fare,Embarked,Gender
0,3,0,2,20.2125,S,female
0,1,0,0,52,S,male
1,3,1,0,11.2417,C,female
0,3,0,0,8.7125,C,male
0,2,0,0,10.5,S,male
1,2,0,1,33,S,female
1,2,0,0,13,S,male
0,2,0,0,12.875,C,male
1,3,1,0,24.15,Q,female
0,1,0,0,26,S,male
0,2,0,0,10.5,S,male
0,3,0,5,29.125,Q,female
0,3,0,0,7.8542,S,male
0,1,0,0,26.55,S,male
0,3,0,0,7.75,Q,male
1,3,1,1,15.9,S,male
0,3,0,2,14.5,S,male
0,3,2,0,7.925,S,male
0,2,0,0,13,S,male
1,3,1,1,16.7,S,female
0,2,0,0,10.5,S,male
0,3,0,0,7.75,Q,male
0,3,4,2,31.275,S,female
0,3,0,0,18.7875,C,male
0,1,0,0,30.5,S,male
1,2,0,1,19.5,S,female
0,3,0,0,7.05,S,male
0,2,0,0,26,S,male
0,3,1,1,14.4,S,male
0,3,3,1,25.4667,S,male
1,1,0,1,512.3292,C,male
1,1,0,0,86.5,S,female
0,3,1,0,7.25,S,male
1,2,0,0,10.5,S,female
0,2,1,0,30.0708,C,male
0,1,3,2,263,S,male
1,2,0,0,13,S,male
0,3,0,0,8.05,S,male
1,1,0,0,26.55,S,male
0,1,0,0,26.55,S,male
0,3,3,2,27.9,S,female
1,1,1,2,120,S,male
1,2,1,1,26,S,male
1,2,0,0,10.5,S,female
1,2,0,0,13,S,female
0,3,0,0,9.5,S,male
0,3,0,0,7.8542,S,male
0,3,0,0,7.225,C,male
1,2,0,2,37.0042,C,male
0,3,0,0,7.55,S,female
1,2,1,0,26,S,female
1,3,1,0,7.8542,S,female
0,2,0,0,10.5,S,male
0,3,0,0,7.8958,S,male
0,3,3,2,27.9,S,male
0,3,0,0,8.05,S,male
0,3,0,0,7.8958,S,male
1,1,1,1,52.5542,S,female
1,1,0,1,55,S,female
1,1,0,0,86.5,S,female
0,3,0,0,22.525,S,male
1,2,2,3,18.75,S,female
1,2,0,0,13.8625,C,male
0,2,1,0,21,S,female
1,3,0,0,7.925,S,male
1,1,1,0,53.1,S,male
0,3,0,0,7.8958,S,male
0,3,0,0,9.5,S,male
0,3,0,0,9,S,male
0,3,0,0,7.05,S,male
1,3,4,2,31.3875,S,female
1,1,1,0,113.275,C,female
1,3,2,1,19.2583,C,female
0,3,1,0,14.5,S,female
1,2,1,1,29,S,female
1,3,0,2,22.3583,C,female
0,3,0,0,7.8958,S,male
0,3,0,0,7.75,S,male
0,2,0,0,0,S,male
1,1,0,0,69.3,C,female
1,3,0,0,7.2292,C,female
0,3,1,0,16.1,S,male
1,3,0,0,56.4958,S,male
0,3,0,0,7.2292,C,male
1,2,1,1,26.25,S,female
0,3,0,0,8.05,S,male
0,3,0,0,7.4958,S,male
0,3,0,0,14.4583,C,male
0,3,4,2,31.3875,S,male
0,2,0,0,10.5,S,male
